gene_name	log2FoldChange_ITLvsC_siS	padjvalue_ITLvsC_siS	log2FoldChange_ITLvsC_siC	padjvalue_ITLvsC_siC	log2FoldChange_siS.vs.siC_ITL	pvalue_siS.vs.siC_ITL	log2FoldChange_siS.vs.siC_untr	pvalue_siS.vs.siC_untr	up_active_enhancers	down_active_enhancers	up_active_promoters	down_active_promoters	up_enhancers	down_enhancers	up_promoters	down_promoters	active_prom	active_enh
PRMT5	-0.631250112661789	0.00555052270862551	-0.809272529859052	0.000261108475962459	0.0408930709815931	0.79942750693949	-0.145080783471699	0.170436188508977	No	No	Yes	No	No	No	Yes	No	Yes	Yes
PRMT6	-0.862923659685843	0.00236649686125367	-0.922660189081725	0.00198511910126161	-0.103054976904926	0.710131574225429	-0.166355585330265	0.300223181333388	No	No	No	No	No	No	No	No	Yes	NA
PRMT7	-0.218319856088732	0.295966689262254	-0.00390575982205304	0.988493696812378	-0.191869107365031	0.119363741028803	0.0169637955828166	0.866473655579025	No	No	No	No	No	No	No	No	Yes	Yes
PRMT9	-0.648847026827405	0.24791027728749	-0.639975855334396	0.304322506432591	0.150351376283005	0.755376866997969	0.140202121368586	0.665838071449195	No	No	No	No	No	No	No	No	NA	NA
PRNP	-1.07480594729528	2.68556052829583e-08	-1.43986033461348	2.03886901923866e-09	0.339983759257813	0.0337442350894909	-0.0276694378012749	0.808687976279077	No	No	No	Yes	No	No	No	Yes	Yes	Yes
PROB1	-1.014006	0.2249622	-0.204881292713005	0.815235038858405	-0.720543416172574	0.340733218054154	0.0716430469694845	0.883996530472751	No	No	No	No	No	No	No	No	NA	NA
PROCA1	-0.522257876588743	0.108960544218055	-0.241499653899524	0.661378423242323	0.0461559322820743	0.874370577265686	0.349137787728876	0.149369597948782	No	No	No	No	No	No	No	No	Yes	Yes
PROCR	0.222537344631014	0.50866501402363	-0.0738837743744247	0.845763073321099	-0.0964600426171613	0.611352968983317	-0.392587696764942	0.0117863124822776	No	No	No	No	No	No	No	No	Yes	NA
PROM2	0.973286851272862	0.482811045487046	-0.318043507152753	0.844032601417596	0.920814460074221	0.382930256841493	-0.340204078546134	0.711298499007773	No	No	No	No	No	No	No	No	NA	NA
PROS1	-0.374059860465126	0.763312892952632	-0.431042200392615	0.730428996316579	0.0904750208302866	0.922368834925036	-0.0743891826824274	0.904899619451469	No	No	No	No	No	No	No	No	Yes	NA
PROSER1	-0.0388471364292357	0.905609632243407	-0.0478526581945293	0.864883672911266	0.0322118897977967	0.826730704058606	0.024422360854089	0.828889814718478	No	No	No	No	No	No	No	No	Yes	NA
PROSER2	-0.262744697172616	0.68746619173506	0.254556536098903	0.65276391869825	-0.236955647653564	0.572470259112895	0.288910799969373	0.368629082056021	No	No	No	No	No	No	No	No	Yes	NA
PROSER3	0.122023090274786	0.67120034699693	0.505825068302737	0.0518495470712637	-0.283458430218257	0.0667955646945043	0.0906319001832636	0.520774436847341	No	No	No	No	No	No	No	No	NA	NA
PRPF18	0.494648309045327	0.205249892038004	0.565049158044025	0.136483826987096	-0.12855385152285	0.652176666357318	-0.074798300334892	0.778543404536529	No	No	No	No	No	No	No	No	Yes	Yes
PRPF19	-0.473326137046248	0.0159590736808847	-0.554531697508561	0.00164602346683966	0.0800933866106694	0.459147563520509	-0.00801122937138874	0.916808490311102	No	No	No	No	No	No	No	No	Yes	NA
PRPF3	1.80546964844454	3.81689827933431e-25	1.89965722015454	4.32126226863723e-23	-0.138005210886161	0.117556557589574	-0.0485080331405331	0.638616497871273	No	No	No	No	No	No	No	No	Yes	Yes
PRPF31	-0.190734319491862	0.331776314842433	-0.126582704657869	0.602435070722317	-0.0283762114045075	0.760258428274754	0.0306321632354347	0.683165855156993	No	No	No	No	No	No	No	No	Yes	NA
PRPF38A	-0.0219641063506416	0.941607105379909	0.0251018727061183	0.926115694662728	-0.00811253035291733	0.952417614099848	0.0331981361828362	0.755276888935786	No	No	No	No	No	No	No	No	Yes	NA
PRPF38B	-0.215734426257727	0.328833903083814	-0.0605060314977231	0.812352986610985	0.0115262297865247	0.919176953157636	0.161345852706674	0.0553700915542743	No	No	No	No	No	No	No	No	Yes	Yes
PRPF39	0.282757933879481	0.250790254747664	0.288509420746938	0.260292063567206	-0.162019879465027	0.31344796452747	-0.165223601344742	0.23342110905831	No	No	No	No	No	No	No	No	Yes	Yes
PRPF4	-0.2942318	0.1663036	-0.457037700626577	0.0385638046947082	0.040990874748851	0.78885226015895	-0.127467995219756	0.227633561847703	No	No	No	No	No	No	No	No	Yes	NA
PRPF40A	0.289591492461225	0.114588425542295	0.284105052545138	0.147294922647388	0.0214823069059641	0.824509090383284	0.0099403530300801	0.906605441958977	No	No	No	No	No	No	No	No	Yes	Yes
PRPF40B	-1.22737371874178	0.000827743567599264	-1.02506310679938	0.0105669407423588	-0.201898405013658	0.612932820004515	-0.00295219977774295	0.988634622839486	No	No	No	No	No	No	No	No	Yes	Yes
PRPF4B	-0.1987584	0.3515032	-0.138174442283216	0.577900620104205	-0.00638604073644981	0.955557620989187	0.0489915982993637	0.60681250940527	No	No	No	No	No	No	No	No	Yes	NA
PRPF6	0.432320135986142	0.0171951186035631	0.422660434984468	0.05366582703694	-0.0184196824299414	0.828216557622085	-0.0331570094874404	0.650240886417473	No	No	No	No	No	No	No	No	Yes	Yes
PRPF8	-0.413570849673531	0.0210293235197417	-0.381570406041991	0.0395379506737746	-0.0391214501212653	0.655233406073779	-0.0128844919859605	0.84601520943433	No	No	No	No	No	No	No	No	Yes	NA
PRPS1	-0.03131362	0.9290857	-0.184500595556626	0.505916254899751	0.153285562261394	0.369102775402242	-0.0102545513278852	0.939079825181226	No	No	No	No	No	No	No	No	NA	NA
PRPS2	-0.4486578	0.1433097	-0.457702999647972	0.0901702244262873	-0.0362399520388998	0.87433424609863	-0.0548671037291311	0.714050881519292	No	No	No	No	No	No	No	No	Yes	NA
PRPSAP1	0.96890318063704	1.18558380607067e-07	0.86014569102357	3.89743254103777e-05	0.115390951922291	0.350014071339486	0.00199099218046908	0.987782958022756	No	No	No	No	No	No	No	No	Yes	NA
PRPSAP2	0.100319935962059	0.752868251683943	-0.136747138830921	0.66902595700097	0.106067114171466	0.595945732149319	-0.139827881342253	0.395737966865539	No	No	No	No	No	No	No	No	NA	NA
PRR11	-0.915397805806784	0.0878474660617091	-0.701125594319681	0.201616903680383	-0.0400995565194357	0.934829051448057	0.163842596327688	0.578530802655293	No	No	No	No	No	No	No	No	Yes	NA
PRR12	-0.883869540479121	2.82974739717736e-05	-0.789724300482878	4.39838450322652e-05	0.0175706367558767	0.890580117913599	0.0999823542794285	0.23889068141592	No	No	No	Yes	No	No	No	Yes	Yes	NA
PRR13	0.376097592850899	0.0320144923940432	0.445174162123008	0.0344920075597663	0.0130968423705846	0.878580992095732	0.0773798683119823	0.329290308280658	No	No	No	No	No	No	No	No	Yes	Yes
PRR14	0.247960272158377	0.274830803661695	0.403442959143866	0.0740037599286082	-0.0668543143810856	0.461385256963538	0.0842364838896532	0.277349984169812	No	No	No	No	No	No	No	No	Yes	Yes
PRR14L	-0.103133987503949	0.68856615396867	-0.0501068952087887	0.870244236670216	-0.0609229385534678	0.639097519913169	-0.0179685963191486	0.859805362957542	No	No	No	No	No	No	No	No	Yes	NA
PRR16	3.28802	2.879031e-17	3.77843705397217	0.0027923550457072	0.120046444297249	0.488854875232371	0.561393075035834	0.603711559550769	No	No	No	No	No	No	No	No	Yes	NA
PRR19	0.194262575943512	0.873525296614881	-0.786521495155441	0.487809804491938	0.79314392914229	0.388749222968868	-0.170406882148565	0.793276720481663	No	No	No	No	No	No	No	No	Yes	Yes
